id,type of property,subtype of property,locality,latitude,longitude,street,province,postalCode,price,type of sale,number of bedrooms,living area,livable area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10689265,HOUSE,MIXED_USE_BUILDING,Koekelberg,50.8630908,4.3299279,Rue du Noyer 86,Brussels,1081,575000.0,residential_sale,3,0,220.0,installed,,False,True,,,,220.0,71.0,2.0,,good
10687297,HOUSE,EXCEPTIONAL_PROPERTY,Beveren,51.2244367,4.2460537,,East Flanders,9120,695000.0,residential_sale,4,28,269.0,hyper_equipped,,False,True,41.0,True,300.0,269.0,583.0,3.0,False,as_new
10686031,HOUSE,HOUSE,Seraing,50.5982237,5.5187843,Place Merlot 6,Liège,4100,144000.0,residential_sale,2,14,105.0,semi_equipped,False,False,True,,True,25.0,105.0,105.0,2.0,False,good
10686030,HOUSE,HOUSE,Seraing,50.6015482,5.5107987,Place Merlot 6,Liège,4100,199000.0,residential_sale,4,25,125.0,installed,False,False,True,108.0,True,28.0,125.0,229.0,2.0,False,good
10686027,HOUSE,VILLA,Herzele,50.8911453,3.8579151,Hoogstraat 20,East Flanders,9550,539000.0,residential_sale,4,65,370.0,hyper_equipped,,False,True,60.0,,,370.0,911.0,4.0,False,as_new
10686410,HOUSE,HOUSE,Forest,50.8214445,4.3235191,,Brussels,1190,650000.0,residential_sale,4,16,215.0,installed,,False,True,10.0,True,90.0,215.0,170.0,2.0,False,to_be_done_up
10686063,HOUSE,MIXED_USE_BUILDING,Aalst,50.940489,4.034773,Sint-Denijslaan 1,East Flanders,9300,850000.0,residential_sale,8,0,1264.0,installed,False,False,True,,,,1264.0,430.0,2.0,False,to_renovate
10683651,HOUSE,HOUSE,Herstal,50.6677575,5.6362756,Grand rue 191,Liège,4040,160000.0,residential_sale,2,18,130.0,not_installed,False,False,True,14.0,,,130.0,116.0,3.0,False,to_renovate
10683687,HOUSE,HOUSE,Bruxelles,50.8445285,4.3446624,Square Ambiorix 40 Bte 67,Brussels,1000,250000.0,residential_sale,4,0,90.0,installed,False,False,,,,,90.0,17.0,2.0,,to_restore
10684680,HOUSE,HOUSE,TOLLEMBEEK,50.7371764,4.015339,Alsembergsesteenweg 660,Flemish Brabant,1570,399000.0,residential_sale,3,43,216.0,not_installed,,True,,,True,1113.0,216.0,1329.0,4.0,,to_renovate
10681697,HOUSE,HOUSE,Liege,50.6402372,5.599121,Rue de la Wallonie 2A,Liège,4020,149000.0,residential_sale,4,14,137.0,installed,True,False,True,25.0,,,137.0,110.0,2.0,False,good
10681503,HOUSE,HOUSE,Saint-Nicolas,50.6269618,5.5302867,Chaussée de Tirlemont 15/1,Liège,4420,235000.0,residential_sale,3,15,100.0,semi_equipped,False,False,True,32.0,True,200.0,100.0,355.0,2.0,False,good
10685116,HOUSE,APARTMENT_BLOCK,Nassogne,50.1332458,5.27907,Rue Simon 46/2,Luxembourg,6950,325000.0,residential_sale,4,0,235.0,usa_semi_equipped,False,False,,,,,235.0,122.0,2.0,False,good
10683015,HOUSE,HOUSE,Vilvoorde,50.9338191,4.4364779,,Flemish Brabant,1800,425000.0,residential_sale,3,30,138.0,installed,,False,,,True,40.0,138.0,175.0,2.0,False,just_renovated
10679324,HOUSE,HOUSE,Seraing,50.6007164,5.51515,Rue de la Wallonie 2A,Liège,4100,159000.0,residential_sale,3,14,87.0,installed,False,False,True,64.0,True,106.0,87.0,145.0,2.0,False,just_renovated
10679325,HOUSE,HOUSE,Vise,50.7564822,5.6621441,Rue de la Wallonie 2A,Liège,4600,229000.0,residential_sale,3,19,145.0,installed,False,False,True,136.0,,,145.0,184.0,3.0,False,good
10680063,HOUSE,BUNGALOW,ROTHEUX-RIMIÈRE,50.5296416,5.4476278,Avenue des Ardennes 1/02,Liège,4120,319000.0,residential_sale,2,24,104.0,installed,,True,True,40.0,True,200.0,104.0,543.0,3.0,,just_renovated
10680254,HOUSE,VILLA,La Roche-en-Ardenne,50.1760517,5.5812122,Rue Simon 46/2,Luxembourg,6980,398000.0,residential_sale,3,40,170.0,hyper_equipped,False,False,True,,True,1193.0,170.0,1193.0,4.0,False,good
10679351,HOUSE,VILLA,Vilvoorde,50.9403728,4.4576204,Parklaan 59/1,Flemish Brabant,1800,430000.0,residential_sale,3,17,132.0,semi_equipped,False,False,True,40.0,True,400.0,132.0,623.0,3.0,False,good
10679090,HOUSE,HOUSE,Oudenaarde,50.8618252,3.6381653,Stationstraat 30,East Flanders,9700,439000.0,residential_sale,2,21,161.0,hyper_equipped,False,False,True,25.0,True,420.0,161.0,680.0,4.0,False,as_new
10678835,HOUSE,HOUSE,Dilbeek,50.8515782,4.247597,Astridlaan 1,Flemish Brabant,1700,529000.0,residential_sale,4,29,315.0,installed,,False,True,,,,315.0,8002.0,3.0,False,to_renovate
10679053,HOUSE,HOUSE,Gent,51.0441299,3.7119805,Sint-Denijslaan 1,East Flanders,9000,785000.0,residential_sale,4,46,266.0,semi_equipped,False,False,True,33.0,True,93.0,266.0,262.0,2.0,False,to_renovate
10689513,HOUSE,APARTMENT_BLOCK,Schaerbeek,50.8710011,4.3845794,Place Communale 8,Brussels,1030,490000.0,residential_sale,4,32,292.0,usa_installed,False,False,,,True,15.0,292.0,110.0,2.0,False,to_renovate
10687336,HOUSE,MANSION,Laeken,50.8837443,4.3392564,Avenue Louise 231,Brussels,1020,900000.0,residential_sale,9,30,285.0,usa_hyper_equipped,True,False,True,18.0,True,105.0,285.0,723.0,3.0,False,as_new
10675619,HOUSE,HOUSE,Ronse,50.7501219,3.5953718,Stationstraat 30,East Flanders,9600,135000.0,residential_sale,5,18,162.0,installed,False,False,,,,,162.0,60.0,2.0,False,good
